id,first_name,last_name,party,contest,other,color,photo
production_Waste_kcal_200_500,200,500,,production_Waste_kcal,,#91CA79,
production_Waste_kcal_500_1000,500,1000,,production_Waste_kcal,,#6FBB4F,
production_Waste_kcal_1000_100000,1000,Largest,,production_Waste_kcal,,#4DAC26,
Crop_Diversity_0_1,0,1,,Crop_Diversity,,#D01C8B,
Crop_Diversity_1_2,1,2,,Crop_Diversity,,#D747A0,
Crop_Diversity_2_5,2,5,,Crop_Diversity,,#DF73B6,
Crop_Diversity_5_10,5,10,,Crop_Diversity,,#E79FCB,
Crop_Diversity_10_20,10,20,,Crop_Diversity,,#EFCBE1,
Crop_Diversity_20_50,20,50,,Crop_Diversity,,#F7F7F7,
Crop_Diversity_50_100,50,100,,Crop_Diversity,,#D5E8CD,
Crop_Diversity_100_200,100,200,,Crop_Diversity,,#B3D9A3,
Crop_Diversity_200_500,200,500,,Crop_Diversity,,#91CA79,
Crop_Diversity_500_1000,500,1000,,Crop_Diversity,,#6FBB4F,
Crop_Diversity_1000_100000,1000,Largest,,Crop_Diversity,,#4DAC26,
